genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975499,35.556696
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858205,35.519519
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.797723,35.460991
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761731,35.562949
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.715417,35.468848
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.714805,35.47884
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.714661,35.470929
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.71395,35.564035
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.712157,35.481666
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.705902,35.474254
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.630048,35.587312
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.621024,35.499672
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494154,35.539536
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49381,35.538416
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493676,35.539068
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493634,35.538781
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49356,35.538521
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493503,35.539162
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492164,35.551863
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491347,35.600951
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.481681,35.64923
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451994,35.662512
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451953,35.662612
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44498,35.638254
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.442142,35.635689
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.430076,35.678055
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.426832,35.477118
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.422784,35.642561
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393728,35.735616
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.370363,35.644398
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265973,35.730699
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.253176,35.733995
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.192072,35.7679
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.16517,35.757598
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.073242,35.668695
